School,City,State,Conference,Division
LeTourneau University,Longview,Texas,American Southwest Conference,III
Lewis & Clark College,Portland,Oregon,Northwest Conference,III
Linfield University,McMinnville,Oregon,Northwest Conference,III
Loras College,Dubuque,Iowa,American Rivers Conference[2],III
Louisiana College[A 10],Pineville,Louisiana,American Southwest Conference,III
Luther College,Decorah,Iowa,American Rivers Conference[2],III
Lycoming College,Williamsport,Pennsylvania,MAC Freedom,III
Lynchburg College,Lynchburg,Virginia,Old Dominion Athletic Conference,III
Macalester College,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
University of Maine at Farmington,Farmington,Maine,North Atlantic Conference,III
Maine Maritime Academy,Castine,Maine,North Atlantic Conference,III
University of Maine at Presque Isle,Presque Isle,Maine,North Atlantic Conference [4],III
Manchester University,North Manchester,Indiana,Heartland Collegiate Athletic Conference,III
Manhattanville College,Purchase,New York,Skyline Conference,III
Maranatha Baptist University,Watertown,Wisconsin,Independent,III
Marian University,Fond du Lac,Wisconsin,Northern Athletics Collegiate Conference,III
Marietta College,Marietta,Ohio,Ohio Athletic Conference,III
Martin Luther College,New Ulm,Minnesota,Upper Midwest Athletic Conference,III
Mary Baldwin University,Staunton,Virginia,USA South Athletic Conference,III
University of Mary Hardin–Baylor,Belton,Texas,American Southwest Conference,III
University of Mary Washington,Fredericksburg,Virginia,Coast to Coast Athletic Conference[A 2],III
Marymount University,Arlington,Virginia,Atlantic East Conference,III
Maryville College,Maryville,Tennessee,USA South Athletic Conference,III
Marywood University,Scranton,Pennsylvania,Atlantic East Conference,III
University of Massachusetts Boston,Boston,Massachusetts,Little East Conference,III
Massachusetts College of Liberal Arts,North Adams,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
University of Massachusetts Dartmouth,Dartmouth,Massachusetts,Little East Conference,III
Massachusetts Institute of Technology (MIT)[A 12],Cambridge,Massachusetts,New England Women's and Men's Athletic Conference,III
Massachusetts Maritime Academy,Buzzards Bay,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
McDaniel College,Westminster,Maryland,Centennial Conference,III
McMurry University,Abilene,Texas,American Southwest Conference,III
Medaille College,Buffalo,New York,Allegheny Mountain Collegiate Conference,III
Medgar Evers College,Brooklyn,New York,City University of New York Athletic Conference,III
Meredith College,Raleigh,North Carolina,USA South Athletic Conference,III
Messiah University,Grantham,Pennsylvania,MAC Commonwealth,III
Methodist University,Fayetteville,North Carolina,USA South Athletic Conference,III
Middlebury College,Middlebury,Vermont,New England Small College Athletic Conference,III
Millikin University,Decatur,Illinois,College Conference of Illinois and Wisconsin,III
Mills College,Oakland,California,Coast to Coast Athletic Conference[A 2],III
Millsaps College,Jackson,Mississippi,Southern Athletic Association,III
Milwaukee School of Engineering,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,III
University of Minnesota Morris,Morris,Minnesota,Upper Midwest Athletic Conference,III
Misericordia University,Dallas,Pennsylvania,MAC Freedom,III
Mississippi University for Women[A 13],Columbus,Mississippi,Independent,III
Mitchell College,New London,Connecticut,New England Collegiate Conference,III
Monmouth College,Monmouth,Illinois,Midwest Conference,III
Montclair State University,Montclair,New Jersey,New Jersey Athletic Conference,III
Moravian College,Bethlehem,Pennsylvania,Landmark Conference,III
Morrisville State College,Morrisville,New York,North Eastern Athletic Conference,III
Mount Aloysius College,Cresson,Pennsylvania,Allegheny Mountain Collegiate Conference,III
Mount Holyoke College,South Hadley,Massachusetts,New England Women's and Men's Athletic Conference,III
Mount Mary University,Milwaukee,Wisconsin,Coast to Coast Athletic Conference[A 2],III
Mount St. Joseph University,Cincinnati,Ohio,Heartland Collegiate Athletic Conference,III
Mount Saint Mary College,Newburgh,New York,Skyline Conference,III
College of Mount Saint Vincent,The Bronx,New York,Skyline Conference,III
University of Mount Union,Alliance,Ohio,Ohio Athletic Conference,III
Muhlenberg College,Allentown,Pennsylvania,Centennial Conference,III
Muskingum University,New Concord,Ohio,Ohio Athletic Conference,III
Nazareth College,Pittsford,New York,Empire 8,III
Nebraska Wesleyan University,Lincoln,Nebraska,American Rivers Conference[2],III
Neumann University,Aston,Pennsylvania,Atlantic East Conference,III
New England College,Henniker,New Hampshire,New England Collegiate Conference,III
University of New England,Biddeford,Maine,Commonwealth Coast Conference,III
The College of New Jersey,Ewing,New Jersey,New Jersey Athletic Conference,III
New Jersey City University,Jersey City,New Jersey,New Jersey Athletic Conference,III
State University of New York at Brockport,Brockport,New York,State University of New York Athletic Conference,III
State University of New York at Canton,Canton,New York,North Atlantic Conference,III
State University of New York at Cobleskill,Cobleskill,New York,North Atlantic Conference,III
State University of New York at Cortland,Cortland,New York,State University of New York Athletic Conference,III
State University of New York at Delhi[A 14],Delhi,New York,North Atlantic Conference,III
State University of New York at Fredonia,Fredonia,New York,State University of New York Athletic Conference,III
State University of New York at Geneseo,Geneseo,New York,State University of New York Athletic Conference,III
State University of New York Maritime College,The Bronx,New York,Skyline Conference,III
State University of New York Polytechnic Institute,Marcy,New York,North Atlantic Conference,III
State University of New York at New Paltz,New Paltz,New York,State University of New York Athletic Conference,III
State University of New York at Old Westbury,Old Westbury,New York,Skyline Conference,III
State University of New York at Oneonta,Oneonta,New York,State University of New York Athletic Conference,III
State University of New York at Oswego,Oswego,New York,State University of New York Athletic Conference,III
State University of New York at Plattsburgh,Plattsburgh,New York,State University of New York Athletic Conference,III
State University of New York at Potsdam,Potsdam,New York,State University of New York Athletic Conference,III
State University of New York at Purchase,Purchase,New York,Skyline Conference,III
New York University (NYU),New York,New York,University Athletic Association,III
Nichols College,Dudley,Massachusetts,Commonwealth Coast Conference,III
North Carolina Wesleyan College,Rocky Mount,North Carolina,USA South Athletic Conference,III
North Central College,Naperville,Illinois,College Conference of Illinois and Wisconsin,III
North Central University,Minneapolis,Minnesota,Upper Midwest Athletic Conference,III
North Park University,Chicago,Illinois,College Conference of Illinois and Wisconsin,III
Northern Vermont University–Johnson,Johnson,Vermont,North Atlantic Conference,III
Northern Vermont University–Lyndon,Lyndonville,Vermont,North Atlantic Conference,III
Northland College,Ashland,Wisconsin,Upper Midwest Athletic Conference,III
University of Northwestern – St. Paul,Roseville,Minnesota,Upper Midwest Athletic Conference,III
Norwich University,Northfield,Vermont,Great Northeast Athletic Conference,III
Notre Dame of Maryland University,Baltimore,Maryland,Colonial States Athletic Conference,III
Oberlin College,Oberlin,Ohio,North Coast Athletic Conference,III
Occidental College,Los Angeles,California,Southern California Intercollegiate Athletic Conference,III
Oglethorpe University,Atlanta,Georgia,Southern Athletic Association,III
Ohio Northern University,Ada,Ohio,Ohio Athletic Conference,III
Ohio Wesleyan University,Delaware,Ohio,North Coast Athletic Conference,III
Olivet College,Olivet,Michigan,Michigan Intercollegiate Athletic Association,III
Otterbein University,Westerville,Ohio,Ohio Athletic Conference,III
University of the Ozarks,Clarksville,Arkansas,American Southwest Conference,III
Pacific Lutheran University,Tacoma,Washington,Northwest Conference,III
Pacific University,Forest Grove,Oregon,Northwest Conference,III
Pennsylvania College of Technology,Williamsport,Pennsylvania,North Eastern Athletic Conference,III
"Pennsylvania State University, Abington",Abington,Pennsylvania,North Eastern Athletic Conference,III
"Pennsylvania State University, Altoona",Altoona,Pennsylvania,Allegheny Mountain Collegiate Conference,III
"Pennsylvania State University, Berks College",Reading,Pennsylvania,North Eastern Athletic Conference,III
"Pennsylvania State University, Erie",Erie,Pennsylvania,Allegheny Mountain Collegiate Conference,III
"Pennsylvania State University, Harrisburg",Harrisburg,Pennsylvania,North Eastern Athletic Conference,III
Pfeiffer University,Misenheimer,North Carolina,USA South Athletic Conference,III
Piedmont College,Demorest,Georgia,USA South Athletic Conference,III
Pine Manor College[A 15],Chestnut Hill,Massachusetts,Coast to Coast Athletic Conference[A 2],III
University of Pittsburgh at Bradford,Bradford,Pennsylvania,Allegheny Mountain Collegiate Conference,III
University of Pittsburgh at Greensburg,Greensburg,Pennsylvania,Allegheny Mountain Collegiate Conference,III
Plymouth State University,Plymouth,New Hampshire,Little East Conference,III
Pomona College and Pitzer College,Claremont,California,Southern California Intercollegiate Athletic Conference,III
Pratt Institute[A 13],Brooklyn,New York,Coast to Coast Athletic Conference[A 2],III
Principia College,Elsah,Illinois,St. Louis Intercollegiate Athletic Conference,III
University of Puget Sound,Tacoma,Washington,Northwest Conference,III
Ramapo College,Mahwah,New Jersey,New Jersey Athletic Conference,III
Randolph College,Lynchburg,Virginia,Old Dominion Athletic Conference,III
Randolph–Macon College,Ashland,Virginia,Old Dominion Athletic Conference,III
University of Redlands,Redlands,California,Southern California Intercollegiate Athletic Conference,III
Regis College,Weston,Massachusetts,Great Northeast Athletic Conference,III
Rensselaer Polytechnic Institute[A 4][A 5],Troy,New York,Liberty League,III
Rhode Island College,Providence,Rhode Island,Little East Conference,III
Rhodes College,Memphis,Tennessee,Southern Athletic Association,III
Ripon College,Ripon,Wisconsin,Midwest Conference,III
Rivier University,Nashua,New Hampshire,Great Northeast Athletic Conference,III
Roanoke College,Salem,Virginia,Old Dominion Athletic Conference,III
University of Rochester,Rochester,New York,University Athletic Association,III
Rochester Institute of Technology[A 16][A 17],,,Liberty League,III
Rockford University,Rockford,Illinois,Northern Athletics Collegiate Conference,III
Roger Williams University,Bristol,Rhode Island,Commonwealth Coast Conference,III
Rose-Hulman Institute of Technology,Terre Haute,Indiana,Heartland Collegiate Athletic Conference,III
Rosemont College,Rosement,Pennsylvania,Colonial States Athletic Conference,III
Rowan University,Glassboro,New Jersey,New Jersey Athletic Conference,III
Rutgers University–Camden,Camden,New Jersey,New Jersey Athletic Conference,III
Rutgers University–Newark,Newark,New Jersey,New Jersey Athletic Conference,III
Russell Sage College,Albany & Troy,New York,Empire 8,III
College of Saint Benedict,St. Joseph,Minnesota,Minnesota Intercollegiate Athletic Conference,III
St. Catherine University,St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
Saint Elizabeth University,Convent Station,New Jersey,North Eastern Athletic Conference,III
St. John Fisher College,Pittsford,New York,Empire 8,III
Saint John's University,Collegeville,Minnesota,Minnesota Intercollegiate Athletic Conference,III
University of Saint Joseph,West Hartford,Connecticut,Great Northeast Athletic Conference,III
St. Joseph's College (Brooklyn),Brooklyn,New York,Skyline Conference,III
St. Joseph's College (Long Island),Long Island,New York,Skyline Conference,III
Saint Joseph's College of Maine,Standish,Maine,Great Northeast Athletic Conference,III
St. Lawrence University[A 4][A 5],Canton,New York,Liberty League,III
Saint Mary's College,Notre Dame,Indiana,Michigan Intercollegiate Athletic Association,III
St. Mary's College of Maryland,St. Mary's City,Maryland,Coast to Coast Athletic Conference[A 2],III
Saint Mary's University of Minnesota,Winona,Minnesota,Minnesota Intercollegiate Athletic Conference,III
St. Norbert College,De Pere,Wisconsin,Northern Athletics Collegiate Conference,III
St. Olaf College,Northfield,Minnesota,Minnesota Intercollegiate Athletic Conference,III
The College of St. Scholastica,Duluth,Minnesota,Upper Midwest Athletic Conference,III
University of St. Thomas (Minnesota)[A 18],St. Paul,Minnesota,Minnesota Intercollegiate Athletic Conference,III
University of St. Thomas (Texas)[A 13],Houston,Texas,Southern Collegiate Athletic Conference,III
Saint Vincent College,Latrobe,Pennsylvania,Presidents' Athletic Conference,III
Salem College,Winston-Salem,North Carolina,USA South Athletic Conference,III
Salem State University,Salem,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Salisbury University,Salisbury,Maryland,Coast to Coast Athletic Conference[A 2],III
Salve Regina University,Newport,Rhode Island,Commonwealth Coast Conference,III
Sarah Lawrence College,Yonkers,New York,Skyline Conference,III
Schreiner University,Kerrville,Texas,Southern Collegiate Athletic Conference,III
University of Scranton,Scranton,Pennsylvania,Landmark Conference,III
Sewanee: The University of the South,Sewanee,Tennessee,Southern Athletic Association,III
Shenandoah University,Winchester,Virginia,Old Dominion Athletic Conference,III
Simmons University,Boston,Massachusetts,Great Northeast Athletic Conference,III
Simpson College,Indianola,Iowa,American Rivers Conference[2],III
Skidmore College,Saratoga Springs,New York,Liberty League,III
Smith College,Northampton,Massachusetts,New England Women's and Men's Athletic Conference,III
University of Southern Maine,Portland,Maine,Little East Conference,III
Southern Virginia University,Buena Vista,Virginia,Coast to Coast Athletic Conference[A 2],III
Southwestern University,Georgetown,Texas,Southern Collegiate Athletic Conference,III
Spalding University,Louisville,Kentucky,St. Louis Intercollegiate Athletic Conference,III
Springfield College,Springfield,Massachusetts,New England Women's and Men's Athletic Conference,III
Stevens Institute of Technology,Hoboken,New Jersey,MAC Freedom,III
Stevenson University,Stevenson,Maryland,MAC Commonwealth,III
Stockton University,Pomona,New Jersey,New Jersey Athletic Conference,III
Suffolk University,Boston,Massachusetts,Commonwealth Coast Conference,III
Sul Ross State University,Alpine,Texas,American Southwest Conference,III
Susquehanna University,Selinsgrove,Pennsylvania,Landmark Conference,III
Swarthmore College,Swarthmore,Pennsylvania,Centennial Conference,III
Sweet Briar College,Sweet Briar,Virginia,Old Dominion Athletic Conference,III
University of Texas at Dallas,Dallas,Texas,American Southwest Conference,III
Texas Lutheran University,Seguin,Texas,Southern Collegiate Athletic Conference,III
Thiel College,Greenville,Pennsylvania,Presidents' Athletic Conference,III
Thomas College,Waterville,Maine,North Atlantic Conference,III
Transylvania University,Lexington,Kentucky,Heartland Collegiate Athletic Conference,III
Trine University,Angola,Indiana,Michigan Intercollegiate Athletic Association,III
Trinity College,Hartford,Connecticut,New England Small College Athletic Conference,III
Trinity University,San Antonio,Texas,Southern Collegiate Athletic Conference,III
Trinity Washington University,Washington,District of Columbia,Independent,III
Tufts University,Medford,Massachusetts,New England Small College Athletic Conference,III
Union College[A 16][A 17],Schenectady,New York,Liberty League,III
United States Coast Guard Academy (Coast Guard),New London,Connecticut,New England Women's and Men's Athletic Conference,III
United States Merchant Marine Academy (Merchant Marine),Kings Point,New York,Skyline Conference[5],III
Ursinus College,Collegeville,Pennsylvania,Centennial Conference,III
Utica College,Utica,New York,Empire 8,III
University of Valley Forge,Phoenixville,Pennsylvania,Coast to Coast Athletic Conference[A 2],III
Vassar College,Poughkeepsie,New York,Liberty League,III
Virginia Wesleyan University,Virginia Beach,Virginia,Old Dominion Athletic Conference,III
Wabash College,Crawfordsville,Indiana,North Coast Athletic Conference,III
Warren Wilson College[A 1],Swannanoa,North Carolina,Independent,III
Wartburg College,Waverly,Iowa,American Rivers Conference[2],III
Washington & Jefferson College,Washington,Pennsylvania,Presidents' Athletic Conference,III
Washington and Lee University,Lexington,Virginia,Old Dominion Athletic Conference,III
Washington College,Chestertown,Maryland,Centennial Conference,III
Washington University in St. Louis,St. Louis,Missouri,University Athletic Association,III
Waynesburg University,Waynesburg,Pennsylvania,Presidents' Athletic Conference,III
Webster University,St. Louis,Missouri,St. Louis Intercollegiate Athletic Conference,III
Wellesley College,Wellesley,Massachusetts,New England Women's and Men's Athletic Conference,III
Wells College,Aurora,New York,North Eastern Athletic Conference,III
Wentworth Institute of Technology,Boston,Massachusetts,Commonwealth Coast Conference,III
Wesleyan College,Macon,Georgia,USA South Athletic Conference,III
Wesleyan University,Middletown,Connecticut,New England Small College Athletic Conference,III
Western Connecticut State University,Danbury,Connecticut,Little East Conference,III
Western New England University,Springfield,Massachusetts,Commonwealth Coast Conference,III
Westfield State University,Westfield,Massachusetts,Massachusetts State Collegiate Athletic Conference,III
Westminster College,Fulton,Missouri,St. Louis Intercollegiate Athletic Conference,III
Westminster College,New Wilmington,Pennsylvania,Presidents' Athletic Conference,III
Wheaton College,Wheaton,Illinois,College Conference of Illinois and Wisconsin,III
Wheaton College,Norton,Massachusetts,New England Women's and Men's Athletic Conference,III
Whitman College,Walla Walla,Washington,Northwest Conference,III
Whittier College,Whittier,California,Southern California Intercollegiate Athletic Conference,III
Whitworth University,Spokane,Washington,Northwest Conference,III
Widener University,Chester,Pennsylvania,MAC Commonwealth,III
Wilkes University,Wilkes-Barre,Pennsylvania,MAC Freedom,III
Willamette University,Salem,Oregon,Northwest Conference,III
William Paterson University,Wayne,New Jersey,New Jersey Athletic Conference,III
William Peace University,Raleigh,North Carolina,USA South Athletic Conference,III
William Smith College,Geneva,New York,Liberty League,III
Williams College,Williamstown,Massachusetts,New England Small College Athletic Conference,III
Wilmington College,Wilmington,Ohio,Ohio Athletic Conference,III
Wilson College,Chambersburg,Pennsylvania,Colonial States Athletic Conference,III
University of Wisconsin–Eau Claire,Eau Claire,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–La Crosse,La Crosse,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
Wisconsin Lutheran College,Milwaukee,Wisconsin,Northern Athletics Collegiate Conference,III
University of Wisconsin–Oshkosh,Oshkosh,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Platteville,Platteville,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–River Falls,River Falls,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Stevens Point,Stevens Point,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Stout,Menomonie,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
University of Wisconsin–Superior,Superior,Wisconsin,Upper Midwest Athletic Conference,III
University of Wisconsin–Whitewater,Whitewater,Wisconsin,Wisconsin Intercollegiate Athletic Conference,III
Wittenberg University,Springfield,Ohio,North Coast Athletic Conference,III
College of Wooster,Wooster,Ohio,North Coast Athletic Conference,III
Worcester Polytechnic Institute,Worcester,Massachusetts,New England Women's and Men's Athletic Conference,III
Worcester State University,,,Massachusetts State Collegiate Athletic Conference,III
Yeshiva University,New York,New York,Skyline Conference,III
"York College, City University of New York",Queens,New York,City University of New York Athletic Conference,III
York College of Pennsylvania,York,Pennsylvania,MAC Commonwealth,III
Alice Lloyd College,Pippa Passes,Kentucky,River States Conference,NAIA
Allen University,Columbia,South Carolina,Appalachian Athletic Conference,NAIA
University of Antelope Valley,Lancaster,California,California Pacific Conference,NAIA
Aquinas College,Grand Rapids,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Arizona Christian University,Phoenix,Arizona,Golden State Athletic Conference,NAIA
Asbury University,Wilmore,Kentucky,River States Conference,NAIA
Ave Maria University,Ave Maria,Florida,Sun Conference,NAIA
Avila University,Kansas City,Missouri,Kansas Collegiate Athletic Conference,NAIA
Bacone College,Muskogee,Oklahoma,Association of Independent Institutions,NAIA
Baker University,Baldwin City,Kansas,Heart of America Athletic Conference,NAIA
Bellevue University,Bellevue,Nebraska,North Star Athletic Association,NAIA
Benedictine College,Atchison,Kansas,Heart of America Athletic Conference,NAIA
Benedictine University at Mesa,Mesa,Arizona,California Pacific Conference,NAIA
Bethany College,Lindsborg,Kansas,Kansas Collegiate Athletic Conference,NAIA
Bethel College (IN),Mishawaka,Indiana,Crossroads League,NAIA
Bethel College (KS),North Newton,Kansas,Kansas Collegiate Athletic Conference,NAIA
Bethel University,McKenzie,Tennessee,Mid-South Conference,NAIA
Blue Mountain College,Blue Mountain,Mississippi,Southern States Athletic Conference,NAIA
Bluefield College,Bluefield,Virginia,Appalachian Athletic Conference,NAIA
Brenau University,Gainesville,Georgia,Appalachian Athletic Conference,NAIA
Brescia University,Owensboro,Kentucky,River States Conference,NAIA
Brewton–Parker College,Mount Vernon,Georgia,Southern States Athletic Conference,NAIA
Briar Cliff University,Sioux City,Iowa,Great Plains Athletic Conference,NAIA
University of British Columbia*,Vancouver,British Columbia,Cascade Collegiate Conference,NAIA
Bryan College,Dayton,Tennessee,Appalachian Athletic Conference,NAIA
Bushnell University,Eugene,Oregon,Cascade Collegiate Conference,NAIA
California State University Maritime Academy,Vallejo,California,California Pacific Conference,NAIA
"University of California, Merced",Merced,California,California Pacific Conference,NAIA
Calumet College of St. Joseph,Whiting,Indiana,Chicagoland Collegiate Athletic Conference,NAIA
Campbellsville University,Campbellsville,Kentucky,Mid-South Conference,NAIA
Cardinal Stritch University,Milwaukee,Wisconsin,Chicagoland Collegiate Athletic Conference,NAIA
Carlow University,Pittsburgh,Pennsylvania,River States Conference,NAIA
Carroll College,Helena,Montana,Frontier Conference,NAIA
Central Baptist College,Conway,Arkansas,American Midwest Conference,NAIA
Central Christian College of Kansas,McPherson,Kansas,Sooner Athletic Conference,NAIA
Central Methodist University,Fayette,Missouri,Heart of America Athletic Conference,NAIA
Clarke University,Dubuque,Iowa,Heart of America Athletic Conference,NAIA
Cleary University*,Howell,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
College of Coastal Georgia,Brunswick,Georgia,Sun Conference,NAIA
Columbia College (MO),Columbia,Missouri,American Midwest Conference,NAIA
Columbia College (SC),Columbia,South Carolina,Appalachian Athletic Conference,NAIA
Columbia International University,Columbia,South Carolina,Appalachian Athletic Conference,NAIA
Concordia University–Michigan,Ann Arbor,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Concordia University–Nebraska,Seward,Nebraska,Great Plains Athletic Conference,NAIA
Corban University,Salem,Oregon,Cascade Collegiate Conference,NAIA
Cornerstone University,Grand Rapids,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Cottey College,Nevada,Missouri,Association of Independent Institutions,NAIA
Crowley's Ridge College,Paragould,Arkansas,Association of Independent Institutions,NAIA
Culver–Stockton College,Canton,Missouri,Heart of America Athletic Conference,NAIA
Cumberland University,Lebanon,Tennessee,Mid-South Conference,NAIA
University of the Cumberlands,Williamsburg,Kentucky,Mid-South Conference,NAIA
Dakota State University,Madison,South Dakota,North Star Athletic Association,NAIA
Dakota Wesleyan University,Mitchell,South Dakota,Great Plains Athletic Conference,NAIA
Dalton State College,Dalton,Georgia,Southern States Athletic Conference,NAIA
Dickinson State University,Dickinson,North Dakota,North Star Athletic Association,NAIA
Dillard University,New Orleans,Louisiana,Gulf Coast Athletic Conference,NAIA
Doane College,Crete,Nebraska,Great Plains Athletic Conference,NAIA
Dordt College,Sioux Center,Iowa,Great Plains Athletic Conference,NAIA
Eastern Oregon University,La Grande,Oregon,Cascade Collegiate Conference,NAIA
Edward Waters College,Jacksonville,Florida,Gulf Coast Athletic Conference,NAIA
"Embry–Riddle Aeronautical University, Prescott",Prescott,Arizona,California Pacific Conference,NAIA
Evangel University,Springfield,Missouri,Heart of America Athletic Conference,NAIA
The Evergreen State College,Olympia,Washington,Cascade Collegiate Conference,NAIA
Faulkner University,Montgomery,Alabama,Southern States Athletic Conference,NAIA
Fisher College,Boston,Massachusetts,Association of Independent Institutions,NAIA
Fisk University,Nashville,Tennessee,Association of Independent Institutions,NAIA
Florida College,Temple Terrace,Florida,Southern States Athletic Conference,NAIA
Florida Memorial University,Miami Gardens,Florida,Sun Conference,NAIA
Florida National University,Miami,Florida,Association of Independent Institutions[3],NAIA
Freed–Hardeman University,Henderson,Tennessee,Mid-South Conference,NAIA
Friends University,Wichita,Kansas,Kansas Collegiate Athletic Conference,NAIA
Georgetown College,Georgetown,Kentucky,Mid-South Conference,NAIA
Georgia Gwinnett College*,Lawrenceville,Georgia,Association of Independent Institutions,NAIA
Goshen College,Goshen,Indiana,Crossroads League,NAIA
Governors State University,University Park,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Grace College & Seminary,Winona Lake,Indiana,Crossroads League,NAIA
Graceland University,Lamoni,Iowa,Heart of America Athletic Conference,NAIA
Grand View University,Des Moines,Iowa,Heart of America Athletic Conference,NAIA
Hannibal–LaGrange University,Hannibal,Missouri,American Midwest Conference,NAIA
Harris–Stowe State University,St. Louis,Missouri,American Midwest Conference,NAIA
Haskell Indian Nations University,Lawrence,Kansas,Association of Independent Institutions,NAIA
Hastings College,Hastings,Nebraska,Great Plains Athletic Conference,NAIA
Holy Cross College,Notre Dame,Indiana,Chicagoland Collegiate Athletic Conference,NAIA
Hope International University,Fullerton,California,Golden State Athletic Conference,NAIA
University of Houston–Victoria*,Victoria,Texas,Red River Athletic Conference,NAIA
Huntington University,Huntington,Indiana,Crossroads League,NAIA
Huston–Tillotson University,Austin,Texas,Red River Athletic Conference,NAIA
College of Idaho,Caldwell,Idaho,Cascade Collegiate Conference,NAIA
Indiana Institute of Technology,Fort Wayne,Indiana,Wolverine–Hoosier Athletic Conference,NAIA
Indiana Wesleyan University,Marion,Indiana,Crossroads League,NAIA
Indiana University East,Richmond,Indiana,River States Conference,NAIA
Indiana University Kokomo,Kokomo,Indiana,River States Conference,NAIA
Indiana University Northwest,Gary,Indiana,Chicagoland Collegiate Athletic Conference,NAIA
Indiana University South Bend,South Bend,Indiana,Chicagoland Collegiate Athletic Conference,NAIA
Indiana University Southeast,New Albany,Indiana,River States Conference,NAIA
University of Jamestown,Jamestown,North Dakota,Great Plains Athletic Conference,NAIA
Jarvis Christian College,Hawkins,Texas,Red River Athletic Conference,NAIA
John Brown University,Siloam Springs,Arkansas,Sooner Athletic Conference,NAIA
Judson University,Elgin,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Kansas Wesleyan University,Salina,Kansas,Kansas Collegiate Athletic Conference,NAIA
Keiser University,West Palm Beach,Florida,Sun Conference,NAIA
Kentucky Christian University,Grayson,Kentucky,Appalachian Athletic Conference,NAIA
La Sierra University,Riverside,California,California Pacific Conference,NAIA
Langston University,Langston,Oklahoma,Sooner Athletic Conference,NAIA
Lawrence Technological University,Southfield,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Lewis–Clark State College,Lewiston,Idaho,Cascade Collegiate Conference,NAIA
Life Pacific University,San Dimas,California,Golden State Athletic Conference,NAIA
Life University,Marietta,Georgia,Mid-South Conference,NAIA
Lincoln College,Lincoln,Illinois,Chicagoland Collegiate Athletic Conference,NAIA
Lincoln Christian University,Lincoln,Illinois,Association of Independent Institutions,NAIA
Lindsey Wilson College,Columbia,Kentucky,Mid-South Conference,NAIA
Louisiana State University at Alexandria,Alexandria,Louisiana,Red River Athletic Conference,NAIA
Louisiana State University in Shreveport,Shreveport,Louisiana,Red River Athletic Conference,NAIA
Lourdes University,Sylvania,Ohio,Wolverine–Hoosier Athletic Conference,NAIA
Loyola University New Orleans,New Orleans,Louisiana,Southern States Athletic Conference,NAIA
Lyon College,Batesville,Arkansas,American Midwest Conference,NAIA
Madonna University,Livonia,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Marian University,Indianapolis,Indiana,Crossroads League,NAIA
Martin Methodist College,Pulaski,Tennessee,Mid-South Conference,NAIA
Marymount California University*,Rancho Palos Verdes,California,California Pacific Conference,NAIA
The Master's University,Santa Clarita,California,Golden State Athletic Conference,NAIA
Mayville State University,Mayville,North Dakota,North Star Athletic Association,NAIA
McPherson College,McPherson,Kansas,Kansas Collegiate Athletic Conference,NAIA
Menlo College,Atherton,California,Golden State Athletic Conference,NAIA
University of Michigan–Dearborn,Dearborn,Michigan,Wolverine–Hoosier Athletic Conference,NAIA
Mid-America Christian University,Oklahoma City,Oklahoma,Sooner Athletic Conference,NAIA
MidAmerica Nazarene University,Olathe,Kansas,Heart of America Athletic Conference,NAIA
Middle Georgia State University,Cochran,Georgia,Southern States Athletic Conference,NAIA
Midland University,Fremont,Nebraska,Great Plains Athletic Conference,NAIA
Midway University,Midway,Kentucky,River States Conference,NAIA
Milligan University,Elizabethton,Tennessee,Appalachian Athletic Conference,NAIA
Missouri Baptist University,St. Louis,Missouri,American Midwest Conference,NAIA
Missouri Valley College,Marshall,Missouri,Heart of America Athletic Conference,NAIA
University of Mobile,Prichard,Alabama,Southern States Athletic Conference,NAIA
Montana State University–Northern,Havre,Montana,Frontier Conference,NAIA
Montana Technological University,Butte,Montana,Frontier Conference,NAIA
University of Montana–Western,Dillon,Montana,Frontier Conference,NAIA
Montreat College,Montreat,North Carolina,Appalachian Athletic Conference,NAIA
Morningside College,Sioux City,Iowa,Great Plains Athletic Conference,NAIA
Morris College,Sumter,South Carolina,Association of Independent Institutions[4],NAIA
Mount Marty University,Yankton,South Dakota,Great Plains Athletic Conference,NAIA
