School,City,State,Conference,Division
Loyola University Chicago,Chicago,Illinois,Missouri Valley Conference,I
Loyola University Maryland,Baltimore,Maryland,Patriot League,I
Loyola Marymount University,Los Angeles,California,West Coast Conference,I
University of Maine,Orono,Maine,America East Conference,I
Manhattan College,Riverdale,New York,Metro Atlantic Athletic Conference,I
Marist College,Poughkeepsie,New York,Metro Atlantic Athletic Conference[b],I
Marquette University,Milwaukee,Wisconsin,Big East Conference,I
Marshall University,Huntington,West Virginia,Conference USA,I
"University of Maryland, Baltimore County",Catonsville,Maryland,America East Conference,I
"University of Maryland, College Park",College Park,Maryland,Big Ten Conference,I
University of Maryland Eastern Shore,Princess Anne,Maryland,Mid-Eastern Athletic Conference,I
University of Massachusetts Amherst,Amherst,Massachusetts,Atlantic 10 Conference[l],I
University of Massachusetts Lowell,Lowell,Massachusetts,America East Conference,I
McNeese State University,Lake Charles,Louisiana,Southland Conference,I
University of Memphis,Memphis,Tennessee,American Athletic Conference,I
Mercer University,Macon,Georgia,Southern Conference,I
University of Miami,Coral Gables,Florida,Atlantic Coast Conference,I
Miami University,Oxford,Ohio,Mid-American Conference,I
University of Michigan,Ann Arbor,Michigan,Big Ten Conference,I
Michigan State University,East Lansing,Michigan,Big Ten Conference,I
Middle Tennessee State University,Murfreesboro,Tennessee,Conference USA,I
University of Minnesota,Minneapolis–Saint Paul,Minnesota,Big Ten Conference,I
University of Mississippi,Oxford,Mississippi,Southeastern Conference,I
Mississippi State University,Starkville,Mississippi,Southeastern Conference,I
Mississippi Valley State University,Itta Bena,Mississippi,Southwestern Athletic Conference,I
University of Missouri,Columbia,Missouri,Southeastern Conference,I
University of Missouri–Kansas City,Kansas City,Missouri,The Summit League,I
Missouri State University,Springfield,Missouri,Missouri Valley Conference[h],I
Monmouth University,West Long Branch,New Jersey,Metro Atlantic Athletic Conference[j],I
University of Montana,Missoula,Montana,Big Sky Conference,I
Montana State University,Bozeman,Montana,Big Sky Conference,I
Morehead State University,Morehead,Kentucky,Ohio Valley Conference[b],I
Morgan State University,Baltimore,Maryland,Mid-Eastern Athletic Conference,I
Mount St. Mary's University,Emmitsburg,Maryland,Northeast Conference,I
Murray State University,Murray,Kentucky,Ohio Valley Conference,I
University of Nebraska–Lincoln,Lincoln,Nebraska,Big Ten Conference,I
University of Nebraska Omaha,Omaha,Nebraska,The Summit League,I
"University of Nevada, Las Vegas",Paradise,Nevada,Mountain West Conference,I
"University of Nevada, Reno",Reno,Nevada,Mountain West Conference,I
University of New Hampshire,Durham,New Hampshire,America East Conference,I
New Jersey Institute of Technology,Newark,New Jersey,America East Conference,I
University of New Mexico,Albuquerque,New Mexico,Mountain West Conference,I
New Mexico State University,Las Cruces,New Mexico,Western Athletic Conference[m],I
University of New Orleans,New Orleans,Louisiana,Southland Conference,I
Niagara University,Lewiston,New York,Metro Atlantic Athletic Conference,I
Nicholls State University,Thibodaux,Louisiana,Southland Conference,I
Norfolk State University,Norfolk,Virginia,Mid-Eastern Athletic Conference,I
North Carolina Agricultural and Technical State University,Greensboro,North Carolina,Mid-Eastern Athletic Conference[n],I
University of North Carolina at Asheville,Asheville,North Carolina,Big South Conference,I
North Carolina Central University,Durham,North Carolina,Mid-Eastern Athletic Conference,I
University of North Carolina at Chapel Hill,Chapel Hill,North Carolina,Atlantic Coast Conference,I
University of North Carolina at Charlotte,Charlotte,North Carolina,Conference USA,I
University of North Carolina at Greensboro,Greensboro,North Carolina,Southern Conference,I
North Carolina State University,Raleigh,North Carolina,Atlantic Coast Conference,I
University of North Carolina at Wilmington,Wilmington,North Carolina,Colonial Athletic Association,I
University of North Dakota,Grand Forks,North Dakota,The Summit League[o],I
North Dakota State University,Fargo,North Dakota,The Summit League[h],I
University of North Florida,Jacksonville,Florida,Atlantic Sun Conference,I
University of North Texas,Denton,Texas,Conference USA,I
Northeastern University,Boston,Massachusetts,Colonial Athletic Association,I
Northern Arizona University,Flagstaff,Arizona,Big Sky Conference,I
University of Northern Colorado,Greeley,Colorado,Big Sky Conference,I
Northern Illinois University,DeKalb,Illinois,Mid-American Conference,I
University of Northern Iowa,Cedar Falls,Iowa,Missouri Valley Conference[h],I
Northern Kentucky University,Highland Heights,Kentucky,Horizon League,I
Northwestern University,Evanston,Illinois,Big Ten Conference,I
Northwestern State University,Natchitoches,Louisiana,Southland Conference,I
University of Notre Dame,South Bend,Indiana,Atlantic Coast Conference[p],I
Oakland University,Rochester,Michigan,Horizon League,I
Ohio University,Athens,Ohio,Mid-American Conference,I
The Ohio State University,Columbus,Ohio,Big Ten Conference,I
University of Oklahoma,Norman,Oklahoma,Big 12 Conference,I
Oklahoma State University–Stillwater,Stillwater,Oklahoma,Big 12 Conference,I
Old Dominion University,Norfolk,Virginia,Conference USA,I
Oral Roberts University,Tulsa,Oklahoma,The Summit League,I
University of Oregon,Eugene,Oregon,Pac-12 Conference,I
Oregon State University,Corvallis,Oregon,Pac-12 Conference,I
University of the Pacific,Stockton,California,West Coast Conference,I
University of Pennsylvania,Philadelphia,Pennsylvania,Ivy League,I
Pennsylvania State University,State College,Pennsylvania,Big Ten Conference,I
Pepperdine University,Malibu,California,West Coast Conference,I
University of Pittsburgh,Pittsburgh,Pennsylvania,Atlantic Coast Conference,I
University of Portland,Portland,Oregon,West Coast Conference,I
Portland State University,Portland,Oregon,Big Sky Conference,I
Prairie View A&M University,Prairie View,Texas,Southwestern Athletic Conference,I
Presbyterian College,Clinton,South Carolina,Big South Conference[q],I
Princeton University,Princeton,New Jersey,Ivy League,I
Providence College,Providence,Rhode Island,Big East Conference,I
Purdue University,West Lafayette,Indiana,Big Ten Conference,I
Purdue University Fort Wayne[r],Fort Wayne,Indiana,Horizon League,I
Quinnipiac University,Hamden,Connecticut,Metro Atlantic Athletic Conference,I
Radford University,Radford,Virginia,Big South Conference,I
University of Rhode Island,Kingston,Rhode Island,Atlantic 10 Conference,I
Rice University,Houston,Texas,Conference USA,I
University of Richmond,Richmond,Virginia,Atlantic 10 Conference,I
Rider University,Lawrenceville,New Jersey,Metro Atlantic Athletic Conference,I
Robert Morris University,Moon Township,Pennsylvania,Horizon League[j],I
Rutgers University,New Brunswick,New Jersey,Big Ten Conference,I
Sacred Heart University,Fairfield,Connecticut,Northeast Conference,I
St. Bonaventure University,St. Bonaventure,New York,Atlantic 10 Conference,I
St. Francis College,Brooklyn,New York,Northeast Conference,I
Saint Francis University,Loretto,Pennsylvania,Northeast Conference,I
St. John's University,Jamaica,New York,Big East Conference,I
Saint Joseph's University,Philadelphia,Pennsylvania,Atlantic 10 Conference,I
Saint Louis University,St. Louis,Missouri,Atlantic 10 Conference,I
Saint Mary's College of California,Moraga,California,West Coast Conference,I
Saint Peter's University,Jersey City,New Jersey,Metro Atlantic Athletic Conference,I
Sam Houston State University,Huntsville,Texas,Southland Conference[a],I
Samford University,Homewood,Alabama,Southern Conference,I
University of San Diego,San Diego,California,West Coast Conference[b],I
San Diego State University,San Diego,California,Mountain West Conference,I
University of San Francisco,San Francisco,California,West Coast Conference,I
San Jose State University,San Jose,California,Mountain West Conference,I
Santa Clara University,Santa Clara,California,West Coast Conference,I
Seattle University,Seattle,Washington,Western Athletic Conference,I
Seton Hall University,South Orange,New Jersey,Big East Conference,I
Siena College,Loudonville,New York,Metro Atlantic Athletic Conference,I
University of South Alabama,Mobile,Alabama,Sun Belt Conference,I
University of South Carolina,Columbia,South Carolina,Southeastern Conference,I
South Carolina State University,Orangeburg,South Carolina,Mid-Eastern Athletic Conference,I
University of South Carolina Upstate,Spartanburg,South Carolina,Big South Conference,I
University of South Dakota,Vermillion,South Dakota,The Summit League[h],I
South Dakota State University,Brookings,South Dakota,The Summit League[h],I
University of South Florida,Tampa,Florida,American Athletic Conference,I
Southeast Missouri State University,Cape Girardeau,Missouri,Ohio Valley Conference,I
Southeastern Louisiana University,Hammond,Louisiana,Southland Conference,I
Southern University,Baton Rouge,Louisiana,Southwestern Athletic Conference,I
University of Southern California,Los Angeles,California,Pac-12 Conference,I
Southern Illinois University Carbondale,Carbondale,Illinois,Missouri Valley Conference[h],I
Southern Illinois University Edwardsville,Edwardsville,Illinois,Ohio Valley Conference,I
Southern Methodist University,University Park,Texas,American Athletic Conference,I
University of Southern Mississippi,Hattiesburg,Mississippi,Conference USA,I
Southern Utah University,Cedar City,Utah,Big Sky Conference[a],I
Stanford University,Palo Alto,California,Pac-12 Conference,I
Stephen F. Austin State University,Nacogdoches,Texas,Southland Conference[a],I
Stetson University,DeLand,Florida,Atlantic Sun Conference[b],I
Stony Brook University,Stony Brook,New York,America East Conference,I
Syracuse University,Syracuse,New York,Atlantic Coast Conference,I
Temple University,Philadelphia,Pennsylvania,American Athletic Conference,I
University of Tennessee,Knoxville,Tennessee,Southeastern Conference,I
University of Tennessee at Chattanooga,Chattanooga,Tennessee,Southern Conference,I
University of Tennessee at Martin,Martin,Tennessee,Ohio Valley Conference,I
Tennessee State University,Nashville,Tennessee,Ohio Valley Conference,I
Tennessee Technological University,Cookeville,Tennessee,Ohio Valley Conference,I
Texas A&M University,College Station,Texas,Southeastern Conference,I
Texas A&M University–Corpus Christi,Corpus Christi,Texas,Southland Conference,I
University of Texas at Arlington,Arlington,Texas,Sun Belt Conference,I
University of Texas at Austin,Austin,Texas,Big 12 Conference,I
Texas Christian University,Fort Worth,Texas,Big 12 Conference,I
University of Texas at El Paso,El Paso,Texas,Conference USA,I
University of Texas Rio Grande Valley,Edinburg[A 48],Texas,Western Athletic Conference,I
University of Texas at San Antonio,San Antonio,Texas,Conference USA,I
